index,geometry,인구수,건물수,공시지가,교통혼잡도,주차구획수,불법주정차,행정동명
0,"POLYGON ((14151460.15896217 4275740.16761297, 14151560.15896217 4275740.16761297, 14151560.15896217 4275640.16761297, 14151460.15896217 4275640.16761297, 14151460.15896217 4275740.16761297))",433.0,15.0,488161.6,0.8263524389350412,,,중화산2동
1,"POLYGON ((14151460.15896217 4275640.16761297, 14151560.15896217 4275640.16761297, 14151560.15896217 4275540.16761297, 14151460.15896217 4275540.16761297, 14151460.15896217 4275640.16761297))",556.0,22.0,707922.89,0.8263524389350412,,,중화산2동
2,"POLYGON ((14151460.15896217 4275540.16761297, 14151560.15896217 4275540.16761297, 14151560.15896217 4275440.16761297, 14151460.15896217 4275440.16761297, 14151460.15896217 4275540.16761297))",556.0,22.0,1133404.95,0.8263524389350412,,,중화산1동
3,"POLYGON ((14151460.15896217 4275440.16761297, 14151560.15896217 4275440.16761297, 14151560.15896217 4275340.16761297, 14151460.15896217 4275340.16761297, 14151460.15896217 4275440.16761297))",104.0,17.0,1384944.01,0.8263524389350412,,,중화산1동
4,"POLYGON ((14151560.15896217 4275640.16761297, 14151660.15896217 4275640.16761297, 14151660.15896217 4275540.16761297, 14151560.15896217 4275540.16761297, 14151560.15896217 4275640.16761297))",556.0,17.0,663034.38,0.8263524389350412,,,중화산2동
5,"POLYGON ((14151560.15896217 4275540.16761297, 14151660.15896217 4275540.16761297, 14151660.15896217 4275440.16761297, 14151560.15896217 4275440.16761297, 14151560.15896217 4275540.16761297))",556.0,17.0,796279.81,0.8263524389350412,,,중화산1동
6,"POLYGON ((14156760.15896217 4274940.16761297, 14156860.15896217 4274940.16761297, 14156860.15896217 4274840.16761297, 14156760.15896217 4274840.16761297, 14156760.15896217 4274940.16761297))",0.0,0.0,0.0,0.7358844544913219,,,우아2동
7,"POLYGON ((14151560.15896217 4272840.16761297, 14151660.15896217 4272840.16761297, 14151660.15896217 4272740.16761297, 14151560.15896217 4272740.16761297, 14151560.15896217 4272840.16761297))",359.0,17.0,843799.31,0.6865452022538683,,,삼천1동
8,"POLYGON ((14151560.15896217 4272740.16761297, 14151660.15896217 4272740.16761297, 14151660.15896217 4272640.16761297, 14151560.15896217 4272640.16761297, 14151560.15896217 4272740.16761297))",359.0,17.0,843799.31,0.6865452022538683,,,삼천1동
9,"POLYGON ((14151560.15896217 4272640.16761297, 14151660.15896217 4272640.16761297, 14151660.15896217 4272540.16761297, 14151560.15896217 4272540.16761297, 14151560.15896217 4272640.16761297))",359.0,27.0,843799.31,0.6865452022538683,,,삼천2동
10,"POLYGON ((14151560.15896217 4272540.16761297, 14151660.15896217 4272540.16761297, 14151660.15896217 4272440.16761297, 14151560.15896217 4272440.16761297, 14151560.15896217 4272540.16761297))",239.0,37.0,682605.69,0.6865452022538683,,,삼천2동
11,"POLYGON ((14151560.15896217 4278340.16761297, 14151660.15896217 4278340.16761297, 14151660.15896217 4278240.16761297, 14151560.15896217 4278240.16761297, 14151560.15896217 4278340.16761297))",7.0,4.0,1338451.9,0.5566337387843439,,,금암1동
12,"POLYGON ((14151560.15896217 4277640.16761297, 14151660.15896217 4277640.16761297, 14151660.15896217 4277540.16761297, 14151560.15896217 4277540.16761297, 14151560.15896217 4277640.16761297))",442.0,3.0,660739.87,0.7089633370755564,,,서신동
13,"POLYGON ((14151560.15896217 4277540.16761297, 14151660.15896217 4277540.16761297, 14151660.15896217 4277440.16761297, 14151560.15896217 4277440.16761297, 14151560.15896217 4277540.16761297))",442.0,12.0,915373.47,0.6670403665584625,,,서신동
14,"POLYGON ((14151560.15896217 4277440.16761297, 14151660.15896217 4277440.16761297, 14151660.15896217 4277340.16761297, 14151560.15896217 4277340.16761297, 14151560.15896217 4277440.16761297))",428.0,12.0,915373.47,0.6670403665584625,,,서신동
15,"POLYGON ((14151560.15896217 4277340.16761297, 14151660.15896217 4277340.16761297, 14151660.15896217 4277240.16761297, 14151560.15896217 4277240.16761297, 14151560.15896217 4277340.16761297))",540.0,12.0,915373.47,0.6670403665584625,,,서신동
16,"POLYGON ((14151560.15896217 4277740.16761297, 14151660.15896217 4277740.16761297, 14151660.15896217 4277640.16761297, 14151560.15896217 4277640.16761297, 14151560.15896217 4277740.16761297))",210.0,3.0,507007.82,0.7089633370755564,,,서신동
17,"POLYGON ((14151560.15896217 4276840.16761297, 14151660.15896217 4276840.16761297, 14151660.15896217 4276740.16761297, 14151560.15896217 4276740.16761297, 14151560.15896217 4276840.16761297))",251.0,11.0,348466.26,0.6670403665584625,,,서신동
18,"POLYGON ((14151560.15896217 4276740.16761297, 14151660.15896217 4276740.16761297, 14151660.15896217 4276640.16761297, 14151560.15896217 4276640.16761297, 14151560.15896217 4276740.16761297))",0.0,4.0,297264.93,0.8263524389350412,,,서신동
19,"POLYGON ((14151560.15896217 4276640.16761297, 14151660.15896217 4276640.16761297, 14151660.15896217 4276540.16761297, 14151560.15896217 4276540.16761297, 14151560.15896217 4276640.16761297))",37.0,9.0,502837.49,0.8263524389350412,,,서신동
