,단속장소명,count
0,실내체육관,3051
1,서노송동 노송광장로,3028
2,롯데마트전주점후문CCTV,2166
3,CGV고사점CCTV,2124
4,송천동2가 세병로,2017
5,서신동 온고을로 부근,1924
6,동문길춘하추동양복CCTV,1694
7,창대교회,1474
8,옥토주차장인근CCTV,1434
9,송천동2가 세병2길,1427
10,다이소 인후2점,1407
11,풍남문로터리농협CCTV,1316
12,혁신동 호수마을 입구,1314
13,만성에코르아파트후문,1291
14,효자동2가 홍산남로,1282
15,호성동 다이소 옆,1244
16,소상공인지원센터CCTV,1232
17,대방디엠시티아파트,1229
18,전북대구정문앞,1144
19,효자동3가 마전들로,1117
20,중산초등학교CCTV,1101
21,효자동2가 홍산1길,1078
22,만수초 어린이보호구역,1051
23,금암동 권삼득로,1029
24,도청 힐스테이트앞CCTV,1028
25,효자코아루성우후문CCTV,1023
26,서문초등학교CCTV,975
27,서신동 새터로 부근,963
28,신시가지골든시티앞CCTV,949
29,만성동 만성중앙로,947
30,기전대기숙사사거리CCTV,920
31,송천동2가 세병1길,919
32,태평동 태평3길 부근,917
33,시외버스터미널,908
34,북전주농협 삼거리,875
35,휴엔하임,862
36,농협아중지점,861
37,덕진동2가 가련산로,853
38,중화산2동공영주차장CCTV,844
39,고속버스터미널,836
40,송천동 먹자골목,829
41,평화동1가 평화14길,828
42,에코시티 농협 앞,818
43,효자동웨스트빌후문CCTV,788
44,경원동3가 현무1길,756
45,효자동2가 홍산북로,738
46,중화산동2가 한두평3길,715
47,전주영화제작소CCTV,699
48,서신동 서신로 부근,684
49,풍남문로터리편의점CCTV,664
50,반월동주공아파트앞,663
51,경원동3가 현무2길,656
52,덕진동1가 덕진광장로,654
53,어의당한방병원인근CCTV,654
54,중앙동베스트쥬얼리CCTV,647
55,유연로다이소부근CCTV,641
56,금암동 가리내로,634
57,송천동1가 오송1길,624
58,효자동3가 홍산3길,616
59,우아한시티103동부근,606
60,만성시티프라디움105동,602
61,MBC(중화산동)CCTV,598
62,서신롯데백화점CCTV,583
63,만성지구 중흥(마트데이),582
64,고사동 전주객사4길 부근,574
65,도청 힐스테이트뒤CCTV,572
66,팔복동근린상가,572
67,평화동2가 소대배기로,565
68,효자동1가 효자천변2길,561
69,효자상공회의소후문CCTV,553
70,서신이마트CCTV,552
71,송천동1가 솔내로,548
72,효천우미린2차우전교CCTV,546
73,그랜드힐스턴후문CCTV,542
74,효자신원아침정문CCTV,529
75,복자성당사거리CCTV,526
76,라마다호텔후문인근CCTV,481
77,평화동국민은행CCTV,476
78,삼천삼익아파트인근CCTV,468
79,효자동3가 홍산남로,467
80,SK리더스뷰사거리CCTV,466
81,평화동1가 평화18길,464
82,만성동 양현초 주변,460
83,금암동 기린대로,452
84,충경로랜드로바CCTV,447
85,서신제일비사벌앞CCTV,447
86,효자동2가 바우배기2길,446
87,서원초홀짝제주차장CCTV,443
88,덕진광장공영주차장,436
89,금암분수대 2,433
90,농협전북본부정문CCTV,430
91,코오롱스카이정문CCTV,430
92,전주역,426
93,서신동 당산로 부근,420
94,모래내북측(이남심내과),419
95,효자동2가 바우배기1길,418
96,대양아리스타후문CCTV,416
97,태평동 태진로 부근,416
98,농협전북본부후문CCTV,412
99,금암동 백제대로,398
