﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
55110112201,202303,평일,7,일반국도,전라북도,전주시 완산구,평화2동,42,47,49,51,55,57,50.25,8.1,64
55110112201,202303,평일,8,일반국도,전라북도,전주시 완산구,평화2동,44,48,48,51,55,56,50.41,5.72,63
55110112201,202303,평일,11,일반국도,전라북도,전주시 완산구,평화2동,44,47,48,50,54,55,49.96,5.86,65
55110112201,202303,평일,12,일반국도,전라북도,전주시 완산구,평화2동,43,45,46,49,53,54,48.67,6.01,66
55110112201,202303,평일,17,일반국도,전라북도,전주시 완산구,평화2동,47,51,51,55,57,59,53.51,5.97,66
55110112201,202303,평일,18,일반국도,전라북도,전주시 완산구,평화2동,47,48,50,52,56,59,53.23,6.21,71
55110112301,202303,평일,7,시군도,전라북도,전주시 완산구,평화2동,72,78,82,95,104,108,93.11,16.25,134
55110112301,202303,평일,8,시군도,전라북도,전주시 완산구,평화2동,82,85,86,95,103,110,95.42,13.27,131
55110112301,202303,평일,11,시군도,전라북도,전주시 완산구,평화2동,77,81,83,90,100,106,90.45,13.2,117
55110112301,202303,평일,12,시군도,전라북도,전주시 완산구,평화2동,77,82,84,91,100,104,90.99,13.12,122
55110112301,202303,평일,17,시군도,전라북도,전주시 완산구,평화2동,84,87,88,96,110,114,97.63,13.77,132
55110112301,202303,평일,18,시군도,전라북도,전주시 완산구,평화2동,83,87,91,99,106,110,97.61,14.18,133
55110112302,202303,평일,7,시군도,전라북도,전주시 완산구,평화2동,65,65,83,87,97,104,81.88,27.27,109
55110112302,202303,평일,8,시군도,전라북도,전주시 완산구,평화2동,76,78,78,85,104,105,90.07,18.55,132
55110112302,202303,평일,11,시군도,전라북도,전주시 완산구,평화2동,80,84,86,94,104,106,93.84,14.19,137
55110112302,202303,평일,12,시군도,전라북도,전주시 완산구,평화2동,75,81,84,92,101,107,90.82,17.45,139
55110112302,202303,평일,17,시군도,전라북도,전주시 완산구,평화2동,72,78,80,90,100,102,87.01,19.94,124
55110112302,202303,평일,18,시군도,전라북도,전주시 완산구,평화2동,79,84,89,95,103,107,93.77,16.75,133
55110131601,202303,평일,7,시군도,전라북도,전주시 완산구,평화2동,35,35,35,41,48,48,41.33,5.31,48
55110131601,202303,평일,8,시군도,전라북도,전주시 완산구,평화2동,39,39,43,43,46,48,43.75,4.05,50
55110131601,202303,평일,11,시군도,전라북도,전주시 완산구,평화2동,31,33,34,38,42,45,38.18,6.04,50
55110131601,202303,평일,12,시군도,전라북도,전주시 완산구,평화2동,34,35,35,40,43,45,39.3,5.11,50
55110131601,202303,평일,17,시군도,전라북도,전주시 완산구,평화2동,33,35,35,38,43,44,38.8,6.06,53
55110131601,202303,평일,18,시군도,전라북도,전주시 완산구,평화2동,34,34,34,39,47,50,41.45,8.02,56
55110131602,202303,평일,7,시군도,전라북도,전주시 완산구,평화2동,38,38,40,44,50,50,43.57,5.68,51
55110131602,202303,평일,8,시군도,전라북도,전주시 완산구,평화2동,38,41,41,44,44,47,42.89,7.89,59
55110131602,202303,평일,11,시군도,전라북도,전주시 완산구,평화2동,35,36,36,40,47,51,40.77,8.2,53
55110131602,202303,평일,12,시군도,전라북도,전주시 완산구,평화2동,33,34,35,38,40,43,36.96,6.64,51
55110131602,202303,평일,17,시군도,전라북도,전주시 완산구,평화2동,37,38,39,41,44,45,41.66,5.76,55
55110131602,202303,평일,18,시군도,전라북도,전주시 완산구,평화2동,36,38,39,42,45,46,41.8,4.35,50
55110152001,202303,평일,7,일반국도,전라북도,전주시 완산구,평화2동,83,87,90,97,108,115,98.83,14.45,131
55110152001,202303,평일,8,일반국도,전라북도,전주시 완산구,평화2동,85,90,92,99,109,114,99.94,13.44,136
55110152001,202303,평일,11,일반국도,전라북도,전주시 완산구,평화2동,85,90,92,99,107,112,98.83,12.23,145
55110152001,202303,평일,12,일반국도,전라북도,전주시 완산구,평화2동,87,91,93,98,109,113,99.14,12.87,156
55110152001,202303,평일,17,일반국도,전라북도,전주시 완산구,평화2동,82,87,90,98,109,114,98.73,14.77,136
55110152001,202303,평일,18,일반국도,전라북도,전주시 완산구,평화2동,86,91,92,99,110,114,100.42,14.51,142
55110152002,202303,평일,7,일반국도,전라북도,전주시 완산구,평화2동,79,83,86,90,107,115,94.42,17.35,128
55110152002,202303,평일,8,일반국도,전라북도,전주시 완산구,평화2동,71,79,80,90,106,112,92.32,19.16,145
55110152002,202303,평일,11,일반국도,전라북도,전주시 완산구,평화2동,72,78,80,89,103,109,91.41,18.02,150
55110152002,202303,평일,12,일반국도,전라북도,전주시 완산구,평화2동,75,82,83,93,105,112,93.66,17.48,149
55110152002,202303,평일,17,일반국도,전라북도,전주시 완산구,평화2동,75,79,81,91,100,105,89.86,13.78,130
55110152002,202303,평일,18,일반국도,전라북도,전주시 완산구,평화2동,76,81,83,92,102,106,91.66,15.11,160
