﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
55110112201,202306,주말,7,일반국도,전라북도,전주시 완산구,평화2동,39,43,44,48,52,55,47.5,7.62,68
55110112201,202306,주말,8,일반국도,전라북도,전주시 완산구,평화2동,44,47,47,51,54,56,50.3,6.21,66
55110112201,202306,주말,11,일반국도,전라북도,전주시 완산구,평화2동,43,46,47,49,54,55,48.74,8.03,72
55110112201,202306,주말,12,일반국도,전라북도,전주시 완산구,평화2동,42,44,46,49,53,56,48.56,6.93,65
55110112201,202306,주말,17,일반국도,전라북도,전주시 완산구,평화2동,44,47,48,52,55,57,51.02,7.14,67
55110112201,202306,주말,18,일반국도,전라북도,전주시 완산구,평화2동,45,48,49,52,56,57,51.61,6.59,83
55110112301,202306,주말,7,시군도,전라북도,전주시 완산구,평화2동,80,86,87,93,101,107,92.84,13.38,133
55110112301,202306,주말,8,시군도,전라북도,전주시 완산구,평화2동,83,86,87,93,102,106,93.7,11.78,133
55110112301,202306,주말,11,시군도,전라북도,전주시 완산구,평화2동,76,79,80,86,101,107,90.02,15.03,138
55110112301,202306,주말,12,시군도,전라북도,전주시 완산구,평화2동,77,80,84,90,103,106,91.68,15.45,148
55110112301,202306,주말,17,시군도,전라북도,전주시 완산구,평화2동,76,84,85,95,103,106,92.34,14.36,121
55110112301,202306,주말,18,시군도,전라북도,전주시 완산구,평화2동,75,83,84,94,108,117,95.85,19.18,140
55110112302,202306,주말,7,시군도,전라북도,전주시 완산구,평화2동,79,85,87,93,105,109,93.19,16.2,123
55110112302,202306,주말,8,시군도,전라북도,전주시 완산구,평화2동,82,85,87,96,106,109,93.3,22.13,130
55110112302,202306,주말,11,시군도,전라북도,전주시 완산구,평화2동,78,82,84,93,102,108,92.5,15.87,138
55110112302,202306,주말,12,시군도,전라북도,전주시 완산구,평화2동,76,81,84,95,105,110,93.22,18.7,131
55110112302,202306,주말,17,시군도,전라북도,전주시 완산구,평화2동,78,81,84,93,105,108,91.94,17.22,127
55110112302,202306,주말,18,시군도,전라북도,전주시 완산구,평화2동,78,83,85,94,104,112,93.32,18.63,144
55110131601,202306,주말,7,시군도,전라북도,전주시 완산구,평화2동,31,37,43,44,50,52,43.29,9.37,57
55110131601,202306,주말,8,시군도,전라북도,전주시 완산구,평화2동,36,41,43,45,49,50,43.86,9.65,58
55110131601,202306,주말,11,시군도,전라북도,전주시 완산구,평화2동,30,34,36,40,44,47,39.31,6.9,53
55110131601,202306,주말,12,시군도,전라북도,전주시 완산구,평화2동,35,36,37,42,45,48,40.92,7.03,53
55110131601,202306,주말,17,시군도,전라북도,전주시 완산구,평화2동,35,37,38,44,47,49,42.71,6.71,59
55110131601,202306,주말,18,시군도,전라북도,전주시 완산구,평화2동,37,39,40,43,48,50,43.17,6.46,57
55110131602,202306,주말,7,시군도,전라북도,전주시 완산구,평화2동,38,40,43,46,49,49,43.19,9.74,60
55110131602,202306,주말,8,시군도,전라북도,전주시 완산구,평화2동,34,39,41,44,48,50,41.2,12.14,58
