﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
45830272601,202306,평일,7,일반국도,전라북도,전주시 덕진구,조촌동,77,81,82,86,89,91,84.96,8.06,128
45830272601,202306,평일,8,일반국도,전라북도,전주시 덕진구,조촌동,78,80,81,85,89,91,85.09,7.86,142
45830272601,202306,평일,11,일반국도,전라북도,전주시 덕진구,조촌동,75,78,80,84,87,89,82.6,7.08,104
45830272601,202306,평일,12,일반국도,전라북도,전주시 덕진구,조촌동,76,79,81,85,88,90,83.61,7.08,107
45830272601,202306,평일,17,일반국도,전라북도,전주시 덕진구,조촌동,75,78,79,83,87,89,82.25,7.3,112
45830272601,202306,평일,18,일반국도,전라북도,전주시 덕진구,조촌동,77,81,82,85,89,90,84.44,7.11,110
45830272602,202306,평일,7,일반국도,전라북도,전주시 덕진구,조촌동,77,81,83,86,89,91,85.4,7.8,115
45830272602,202306,평일,8,일반국도,전라북도,전주시 덕진구,조촌동,78,82,83,86,89,90,85.01,6.94,107
45830272602,202306,평일,11,일반국도,전라북도,전주시 덕진구,조촌동,73,77,79,84,88,90,80.5,13.42,116
45830272602,202306,평일,12,일반국도,전라북도,전주시 덕진구,조촌동,75,78,80,84,88,90,82.78,7.85,114
45830272602,202306,평일,17,일반국도,전라북도,전주시 덕진구,조촌동,69,73,75,80,85,87,78.17,10.38,109
45830272602,202306,평일,18,일반국도,전라북도,전주시 덕진구,조촌동,75,79,81,84,88,89,82.94,7.51,110
55121347401,202306,평일,7,시군도,전라북도,전주시 덕진구,덕진동,4,8,15,24,41,44,23.91,15.16,45
55121347401,202306,평일,8,시군도,전라북도,전주시 덕진구,덕진동,5,6,8,21,44,46,26.13,17.62,53
55121347401,202306,평일,11,시군도,전라북도,전주시 덕진구,덕진동,4,5,6,16,33,42,20.19,15.25,50
