단속장소명,count,위도,경도
실내체육관,3051,35.8479463,127.1296175
롯데마트전주점후문CCTV,2166,35.816343,127.102482
CGV고사점CCTV,2124,35.8203132,127.1420003
동문길춘하추동양복CCTV,1694,35.8190505,127.1514895
창대교회,1474,35.835586,127.1676707
옥토주차장인근CCTV,1434,35.8200343,127.1398344
다이소 인후2점,1407,35.829917,127.1590143
풍남문로터리농협CCTV,1316,35.8136598,127.147079
혁신동 호수마을 입구,1314,35.8359607,127.0633423
만성에코르아파트후문,1291,35.8398216,127.077936
호성동 다이소 옆,1244,35.8591368,127.154056
소상공인지원센터CCTV,1232,35.818213,127.1064493
대방디엠시티아파트,1229,35.839004,127.0601374
전북대구정문앞,1144,35.8468171,127.1299221
중산초등학교CCTV,1101,35.8171536,127.1196607
만수초 어린이보호구역,1051,35.8625352,127.1476271
도청 힐스테이트앞CCTV,1028,35.8162144,127.1114926
효자코아루성우후문CCTV,1023,35.8172111,127.1064481
서문초등학교CCTV,975,35.829538,127.1122362
신시가지골든시티앞CCTV,949,35.8182301,127.1093681
기전대기숙사사거리CCTV,920,35.8175235,127.1355022
시외버스터미널,908,35.834737,127.1332957
북전주농협 삼거리,875,35.87097,127.0775114
휴엔하임,862,35.8336704,127.1341267
농협아중지점,861,35.8342941,127.1634892
중화산2동공영주차장CCTV,844,35.81756,127.115216
고속버스터미널,836,35.8348469,127.1290565
송천동 먹자골목,829,35.8599046,127.1261491
에코시티 농협 앞,818,35.8721328,127.1224612
효자동웨스트빌후문CCTV,788,35.8247076,127.0965298
전주영화제작소CCTV,699,35.8183745,127.1425363
풍남문로터리편의점CCTV,664,35.8133208,127.1480732
반월동주공아파트앞,663,35.8723309,127.0728216
어의당한방병원인근CCTV,654,35.81907959999999,127.139065
중앙동베스트쥬얼리CCTV,647,35.8164553,127.1430924
유연로다이소부근CCTV,641,35.8248634,127.1022664
만성시티프라디움105동,602,35.8396396,127.0761122
MBC(중화산동)CCTV,598,35.8144455,127.1259597
서신롯데백화점CCTV,583,35.8343672,127.1218516
만성지구 중흥(마트데이),582,35.8474083,127.0781701
도청 힐스테이트뒤CCTV,572,35.81891574894996,127.10829798020924
팔복동근린상가,572,35.8558348,127.0970708
효자상공회의소후문CCTV,553,35.8182141,127.1065132
서신이마트CCTV,552,35.8325874,127.1202841
효천우미린2차우전교CCTV,546,35.8009661,127.1044443
그랜드힐스턴후문CCTV,542,35.8381722,127.1005664
효자신원아침정문CCTV,529,35.8168174,127.1115305
복자성당사거리CCTV,526,35.8189844,127.1395295
라마다호텔후문인근CCTV,481,35.8223482,127.1449563
평화동국민은행CCTV,476,35.7938407,127.1335037
삼천삼익아파트인근CCTV,468,35.7977441,127.1246996
SK리더스뷰사거리CCTV,466,35.8142126,127.1083248
만성동 양현초 주변,460,35.8465925,127.0743329
충경로랜드로바CCTV,447,35.8176385,127.1431391
서신제일비사벌앞CCTV,447,35.8329676,127.1131423
서원초홀짝제주차장CCTV,443,35.8096786,127.1191425
덕진광장공영주차장,436,35.84405479999999,127.1241886
금암분수대 2,433,35.8409453,127.1363766
농협전북본부정문CCTV,430,35.8203226,127.1025284
코오롱스카이정문CCTV,430,35.8180205,127.11159
전주역,426,35.8500537,127.1623649
모래내북측(이남심내과),419,35.8333897,127.145212
대양아리스타후문CCTV,416,35.823425,127.1426706
농협전북본부후문CCTV,412,35.8203226,127.1025284
