단속장소명,count,위도,경도
실내체육관,3051,35.8479463,127.1296175
서노송동 노송광장로,3028,35.8266871,127.1442865
롯데마트전주점후문CCTV,2166,35.816343,127.102482
CGV고사점CCTV,2124,35.8203132,127.1420003
송천동2가 세병로,2017,35.8748639,127.1276191
서신동 온고을로 부근,1924,35.8360463,127.1108096
동문길춘하추동양복CCTV,1694,35.8190505,127.1514895
창대교회,1474,35.835586,127.1676707
옥토주차장인근CCTV,1434,35.8200343,127.1398344
송천동2가 세병2길,1427,35.8728404,127.1261584
다이소 인후2점,1407,35.829917,127.1590143
풍남문로터리농협CCTV,1316,35.8136598,127.147079
혁신동 호수마을 입구,1314,35.8359607,127.0633423
만성에코르아파트후문,1291,35.8398216,127.077936
효자동2가 홍산남로,1282,35.8160331,127.1070101
호성동 다이소 옆,1244,35.8591368,127.154056
소상공인지원센터CCTV,1232,35.818213,127.1064493
대방디엠시티아파트,1229,35.839004,127.0601374
전북대구정문앞,1144,35.8468171,127.1299221
효자동3가 마전들로,1117,35.8210526,127.1043172
중산초등학교CCTV,1101,35.8171536,127.1196607
효자동2가 홍산1길,1078,35.8146257,127.1076545
만수초 어린이보호구역,1051,35.8625352,127.1476271
금암동 권삼득로,1029,35.8369013,127.1351021
도청 힐스테이트앞CCTV,1028,35.8162144,127.1114926
효자코아루성우후문CCTV,1023,35.8172111,127.1064481
서문초등학교CCTV,975,35.829538,127.1122362
서신동 새터로 부근,963,35.8356369,127.1142103
신시가지골든시티앞CCTV,949,35.8182301,127.1093681
만성동 만성중앙로,947,35.8432236,127.0760102
기전대기숙사사거리CCTV,920,35.8175235,127.1355022
송천동2가 세병1길,919,35.8729707,127.1260089
태평동 태평3길 부근,917,35.8245507,127.1412711
시외버스터미널,908,35.834737,127.1332957
북전주농협 삼거리,875,35.87097,127.0775114
휴엔하임,862,35.8336704,127.1341267
농협아중지점,861,35.8342941,127.1634892
덕진동2가 가련산로,853,35.843551,127.1133567
중화산2동공영주차장CCTV,844,35.81756,127.115216
고속버스터미널,836,35.8348469,127.1290565
송천동 먹자골목,829,35.8599046,127.1261491
평화동1가 평화14길,828,35.8175761,127.1340734
에코시티 농협 앞,818,35.8721328,127.1224612
효자동웨스트빌후문CCTV,788,35.8247076,127.0965298
경원동3가 현무1길,756,35.8197968,127.1478818
효자동2가 홍산북로,738,35.8146257,127.1074431
중화산동2가 한두평3길,715,35.81474070000001,127.124424
전주영화제작소CCTV,699,35.8183745,127.1425363
서신동 서신로 부근,684,35.8311224,127.116161
풍남문로터리편의점CCTV,664,35.8133208,127.1480732
반월동주공아파트앞,663,35.8723309,127.0728216
경원동3가 현무2길,656,35.8213223,127.1495766
어의당한방병원인근CCTV,654,35.81907959999999,127.139065
덕진동1가 덕진광장로,654,35.8443295,127.1248575
중앙동베스트쥬얼리CCTV,647,35.8164553,127.1430924
유연로다이소부근CCTV,641,35.8248634,127.1022664
금암동 가리내로,634,35.8342609,127.1336394
송천동1가 오송1길,624,35.8634558,127.1299148
효자동3가 홍산3길,616,35.8183195,127.1076871
우아한시티103동부근,606,35.850793,127.1543918
만성시티프라디움105동,602,35.8396396,127.0761122
MBC(중화산동)CCTV,598,35.8144455,127.1259597
서신롯데백화점CCTV,583,35.8343672,127.1218516
만성지구 중흥(마트데이),582,35.8474083,127.0781701
고사동 전주객사4길 부근,574,35.8202515,127.1433422
팔복동근린상가,572,35.8558348,127.0970708
도청 힐스테이트뒤CCTV,572,35.81891574894996,127.10829798020924
평화동2가 소대배기로,565,35.7871649,127.1323489
효자동1가 효자천변2길,561,35.8044073,127.1142443
효자상공회의소후문CCTV,553,35.8182141,127.1065132
서신이마트CCTV,552,35.8325874,127.1202841
송천동1가 솔내로,548,35.8656486,127.127185
효천우미린2차우전교CCTV,546,35.8009661,127.1044443
그랜드힐스턴후문CCTV,542,35.8381722,127.1005664
효자신원아침정문CCTV,529,35.8168174,127.1115305
복자성당사거리CCTV,526,35.8189844,127.1395295
라마다호텔후문인근CCTV,481,35.8223482,127.1449563
평화동국민은행CCTV,476,35.7938407,127.1335037
삼천삼익아파트인근CCTV,468,35.7977441,127.1246996
효자동3가 홍산남로,467,35.8160331,127.1070101
SK리더스뷰사거리CCTV,466,35.8142126,127.1083248
평화동1가 평화18길,464,35.7947669,127.1346007
만성동 양현초 주변,460,35.8465925,127.0743329
금암동 기린대로,452,35.8362428,127.1328727
서신제일비사벌앞CCTV,447,35.8329676,127.1131423
충경로랜드로바CCTV,447,35.8176385,127.1431391
효자동2가 바우배기2길,446,35.8170529,127.1038847
서원초홀짝제주차장CCTV,443,35.8096786,127.1191425
덕진광장공영주차장,436,35.84405479999999,127.1241886
금암분수대 2,433,35.8409453,127.1363766
농협전북본부정문CCTV,430,35.8203226,127.1025284
코오롱스카이정문CCTV,430,35.8180205,127.11159
전주역,426,35.8500537,127.1623649
서신동 당산로 부근,420,35.8320911,127.114985
모래내북측(이남심내과),419,35.8333897,127.145212
효자동2가 바우배기1길,418,35.8150125,127.1040587
대양아리스타후문CCTV,416,35.823425,127.1426706
태평동 태진로 부근,416,35.8236084,127.1374467
농협전북본부후문CCTV,412,35.8203226,127.1025284
금암동 백제대로,398,35.8388052,127.1319438
