,latitude,longitude,point,geometry
0,35.81440238,127.1545707,POINT (127.1545707 35.81440238),POINT (14154782.095757151 4275113.333533871)
1,35.83541434,127.1114138,POINT (127.1114138 35.83541434),POINT (14149977.880492985 4277998.160763931)
2,35.83159158,127.1144504,POINT (127.1144504 35.83159158),POINT (14150315.846467035 4277473.365228255)
3,35.81762512,127.1078265,POINT (127.1078265 35.81762512),POINT (14149578.46616002 4275555.783388179)
4,35.8164373,127.1076708,POINT (127.1076708 35.8164373),POINT (14149561.211638946 4275392.6939798)
5,35.8151391,127.1078241,POINT (127.1078241 35.8151391),POINT (14149578.243521037 4275214.506489995)
6,35.81761757,127.1101946,POINT (127.1101946 35.81761757),POINT (14149842.18203371 4275554.822416503)
7,35.81641471,127.1103227,POINT (127.1103227 35.81641471),POINT (14149856.430928528 4275389.673828586)
8,35.8151348,127.1101742,POINT (127.1101742 35.8151348),POINT (14149839.844324403 4275213.957380506)
9,35.81757823,127.115212,POINT (127.115212 35.81757823),POINT (14150400.671919018 4275549.331151414)
10,35.801729,127.101137,POINT (127.101137 35.801729),POINT (14148833.850086102 4273373.772310148)
11,35.796655,127.1217302,POINT (127.1217302 35.796655),POINT (14151126.252360009 4272677.366751564)
12,35.82690168,127.1423128,POINT (127.1423128 35.82690168),POINT (14153417.541439008 4276829.419897383)
13,35.82007396,127.1405874,POINT (127.1405874 35.82007396),POINT (14153225.403997898 4275891.9913932355)
14,35.821232,127.1451912,POINT (127.1451912 35.821232),POINT (14153737.918933509 4276050.969635316)
15,35.81660036,127.1566663,POINT (127.1566663 35.81660036),POINT (14155015.310090363 4275415.070580779)
16,35.81825046,127.1536774,POINT (127.1536774 35.81825046),POINT (14154682.576132383 4275641.584772099)
17,35.8183037,127.152849,POINT (127.152849 35.8183037),POINT (14154590.403594004 4275648.99804337)
18,35.844154,127.1240375,POINT (127.1240375 35.844154),POINT (14151383.17774476 4279198.337669691)
19,35.841311,127.111283,POINT (127.111283 35.841311),POINT (14149963.29763969 4278807.922364032)
20,35.84280186,127.078766,POINT (127.078766 35.84280186),POINT (14146343.521757567 4279012.67236741)
21,35.84477503,127.0738967,POINT (127.0738967 35.84477503),POINT (14145801.507156894 4279283.618429146)
22,35.84271867,127.0715576,POINT (127.0715576 35.84271867),POINT (14145541.130867926 4279001.2743787365)
23,35.83202671,127.1370205,POINT (127.1370205 35.83202671),POINT (14152828.327374239 4277533.093429642)
24,35.83294201,127.1347648,POINT (127.1347648 35.83294201),POINT (14152577.301922498 4277658.729680622)
25,35.84420741,127.1292618,POINT (127.1292618 35.84420741),POINT (14151964.710764661 4279205.616033726)
26,35.85730635,127.1440769,POINT (127.1440769 35.85730635),POINT (14153613.909020765 4281004.619749493)
27,35.84075454,127.127127,POINT (127.127127 35.84075454),POINT (14151727.04365182 4278731.571235283)
28,35.83452064,127.109046,POINT (127.109046 35.83452064),POINT (14149714.275938787 4277875.541438071)
29,35.828448,127.097802,POINT (127.097802 35.828448),POINT (14148462.599584306 4277041.684238741)
30,35.827719,127.105126,POINT (127.105126 35.827719),POINT (14149277.903534876 4276941.592711347)
31,35.82167786,127.1013438,POINT (127.1013438 35.82167786),POINT (14148856.893220697 4276112.20021591)
32,35.82063188,127.0961614,POINT (127.0961614 35.82063188),POINT (14148279.924299914 4275968.597199652)
33,35.82381032,127.102945,POINT (127.102945 35.82381032),POINT (14149035.115725456 4276404.903618875)
34,35.821745,127.102946,POINT (127.102946 35.821745),POINT (14149035.227044947 4276121.398561551)
35,35.82175841,127.1029617,POINT (127.1029617 35.82175841),POINT (14149037.008156803 4276123.183316082)
36,35.81968124,127.1049814,POINT (127.1049814 35.81968124),POINT (14149261.762208713 4275838.03816458)
37,35.82019278,127.1150869,POINT (127.1150869 35.82019278),POINT (14150386.756982667 4275908.328428643)
38,35.801845,127.0919307,POINT (127.0919307 35.801845),POINT (14147809.04285386 4273389.6938086925)
39,35.812987,127.0949926,POINT (127.0949926 35.812987),POINT (14148149.90313467 4274919.089581486)
40,35.81698805,127.1049332,POINT (127.1049332 35.81698805),POINT (14149256.418873154 4275468.335312726)
41,35.81759828,127.1032854,POINT (127.1032854 35.81759828),POINT (14149072.964352326 4275552.076783613)
42,35.815245,127.1040361,POINT (127.1040361 35.815245),POINT (14149156.56528991 4275229.057901502)
